id,naslov,posredovanje,vrsta,obcina,velikost,cena,leto,sobe
o6312114,SENOŽETI,prodaja,Hiša,Dol pri Ljubljani,250.0,240000.0,1972.0,
o6360763,SENOŽETI,prodaja,Hiša,Dol pri Ljubljani,307.0,175000.0,2015.0,
o6181312,SENOŽETI,prodaja,Posest,Dol pri Ljubljani,347.0,100000.0,,
o5366088,SENOŽETI,prodaja,Posest,Dol pri Ljubljani,639.0,170000.0,,
o6280455,SENOŽETI,prodaja,Posest,Dol pri Ljubljani,1112.0,75.0,,
o6025631,SENOŽETI,prodaja,Posest,Dol pri Ljubljani,1157.0,85.0,,
o272079,SENOŽETI,prodaja,Posest,Dol pri Ljubljani,3212.0,50.0,,
o6357735,"SENOŽETI, DOL PRI LJUBLJANI",prodaja,Hiša,Dol pri Ljubljani,74.0,189000.0,2010.0,
o6342707,SENUŠE,prodaja,Hiša,Krško,83.2,165000.0,2005.0,
o6301897,SENUŠE,prodaja,Posest,Krško,1500.0,25.0,,
o6325991,SENUŠE,prodaja,Posest,Krško,10597.0,476865.0,,
o6326000,SENUŠE,prodaja,Posest,Krško,13251.0,596295.0,,
