zacetek,konec,razdalja,cas
Apače,Zagorje ob Savi,134930,5962
Apače,Zavrč,55365,3686
Apače,Zreče,74834,3630
Apače,Črenšovci,46179,2575
Apače,Črna na Koroškem,141675,7538
Apače,Črnomelj,241811,10374
Apače,Šalovci,44043,2923
Apače,Šempeter - Vrtojba,263121,9897
Apače,Šentilj,19599,1389
Apače,Šentjernej,147507,8039
Apače,Šentjur,83089,3787
Apače,Šentrupert,135980,7558
Apače,Šenčur,184928,7109
Apače,Škocjan,140577,7539
Apače,Škofja Loka,180205,7628
Apače,Škofljica,167523,6487
Apače,Šmarje pri Jelšah,82254,4418
Apače,Šmarješke Toplice,144201,8030
Apače,Šmartno ob Paki,114917,5009
Apače,Šmartno pri Litiji,151042,6711
Apače,Šoštanj,113170,5233
Apače,Štore,89610,4053
Apače,Žalec,96605,4186
Apače,Železniki,195356,8643
Apače,Žetale,80809,3669
Apače,Žiri,205005,8651
Apače,Žirovnica,215389,8228
Apače,Žužemberk,202216,8030
Beltinci,Ajdovščina,264209,9423
Beltinci,Ankaran/Ancarano,287008,10162
Beltinci,Apače,35516,2234
Beltinci,Benedikt,43657,2068
Beltinci,Bistrica ob Sotli,124780,5950
Beltinci,Bled,235060,8491
Beltinci,Bloke,225963,9139
Beltinci,Bohinj,257472,9925
Beltinci,Borovnica,201969,7897
Beltinci,Bovec,311445,13316
Beltinci,Braslovče,128166,4750
Beltinci,Brda,301142,11400
Beltinci,Brezovica,196268,7762
Beltinci,Brežice,147868,7338
Beltinci,Cankova,23662,1653
Beltinci,Celje,109513,4236
Beltinci,Cerklje na Gorenjskem,185336,7369
Beltinci,Cerknica,233216,9309
Beltinci,Cerkno,239183,10520
Beltinci,Cerkvenjak,34015,1541
Beltinci,Cirkulane,47751,3260
Beltinci,Destrnik,43255,2117
Beltinci,Divača,255844,9107
Beltinci,Dobje,117517,4999
Beltinci,Dobrepolje,206759,7995
